Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0028121583,0.0027099191,122.839966,12.283997,21.201756,16.366463,-4.007677,-0.0025023527,0.0017826906,0.0018031197,-0.0087639745,-0.0020869034,0.0014603828,0.0024742575,-0.0065831617,-4.028537,0.5369588,-2.143055,-6.447893,8.381417e-05,0.0012640803,0.0036658775,-0.0034569278,0.00089540344,0.001209049,0.005918593,-0.0024123285,0.011462443,0.3274582,-87.12196707939314,-64.59690450690401,5.180895109253164,2000,2400,0,120.37509870401118,0,2.7873541149310768,123.16245281894226,132.85214782401454,0
0.014022937,0.9579607,0.091931686,0.009193169,349.1228,94.35545,-34.68188,39.145977,15.587154,118.3275,-28.090094,42.82552,14.832283,138.73123,5.4823365,-2.277237,1.9518065,7.2073727,-9.372118,-0.064875826,0.6597587,1.9355214,-1.8729258,-0.21167164,0.093002625,0.11750418,-0.70808035,0.017602876,0.3531299,-93.74693230564492,-95.47724765987695,-15.467965670031436,4000,4400,0,120.26234834699426,9.690908526070416,2.191558908787556,132.14481578185223,264.67379117175005,1
0.020213474,1.00031,0.020357346,0.0020357347,75.90201,20.463882,-67.606064,66.46364,12.9684925,127.86264,28.500591,69.690186,11.266676,125.14244,37.755276,-2.0489082,1.9878864,5.4989653,-8.827875,-0.021740738,0.70300007,2.6252906,-2.1352637,-0.24596709,0.10068552,0.18737383,-0.9999635,0.074056804,0.21471167,-3.6584003700055945,-21.682837505049914,-20.545048166549414,6000,6400,0,115.96517566090915,9.367734877974726,2.161686671897769,127.49459721078165,392.11347579665016,2
0.625564,0.66461265,19.914108,1.9914109,35.58629,18.40196,-86.82981,84.9584,12.768246,138.75302,55.13214,89.449936,12.132742,138.62323,66.287346,-2.4007967,1.786935,4.5523596,-8.572212,-0.0008146927,0.6360814,1.9363346,-1.8386991,-0.27708894,0.08730394,0.047009517,-0.74103236,0.38100755,0.18204778,54.59204827727093,90.74138400165967,-13.480077955581763,8000,8400,0,119.44634611101355,9.313475035014562,2.2530393310589716,131.0128604770871,523.5204238368897,3
0.4944647,0.55193156,25.460316,2.5460317,48.413837,17.878193,-84.981544,85.68549,10.244902,135.77515,63.385242,87.115135,8.852418,134.77618,66.83616,-2.1549726,1.8354406,5.2997913,-12.13508,0.059566062,0.6368757,2.2200482,-2.0365992,-0.37026164,0.0905757,-0.052979827,-0.8152257,0.21920922,0.19093773,-124.12476235216143,-143.59096500041954,-15.06263565340248,10000,10400,0,119.74022774701007,9.707372430013493,2.105845401994884,131.55344557901844,654.6603631408652,4
0.40308756,0.55906427,36.041306,3.6041305,57.53644,21.064337,-133.37206,131.30185,35.27275,220.30989,58.59763,135.0909,35.12945,216.44975,69.53498,-1.8224014,1.9448795,6.384347,-9.577574,-0.009819765,0.66459113,2.2964485,-2.4607346,-0.42381838,0.09735246,-0.06838335,-0.86991453,0.36346152,0.19872515,35.77087959035701,22.733947073705068,52.216298635497225,12000,12400,0,118.5997942929389,9.293975253938697,2.103302296833135,129.99707184371073,785.1171855847351,5
0.012414428,0.52098066,27.544014,2.7544014,105.8096,31.425934,-99.206604,99.016846,23.076355,175.64505,40.139072,100.74581,22.146835,170.80688,49.612934,-1.5985941,2.0172148,6.3902106,-9.51177,0.029852625,0.69716066,2.150683,-2.8977091,-0.4833611,0.103857145,-0.09773452,-0.9508757,0.43051276,0.19760738,-36.03971814811608,-38.55667989785781,64.14481512483148,14000,14400,0,120.65749791497365,9.753916430985555,2.1800577780231833,132.59147212398238,917.9323508037487,6
0.33499965,0.7460369,29.199255,2.9199255,71.20198,28.949507,-142.87671,141.53079,53.393463,272.49213,19.659086,144.39066,52.999863,272.36432,32.604465,-1.3780577,2.1707575,6.7566833,-9.875888,0.010573351,0.7268644,2.5020583,-2.5848958,-0.49779063,0.10259464,-0.078958794,-0.8998394,0.60485816,0.1873209,70.2801000123419,64.36130064739835,58.77020635031985,16000,16400,0,119.65780982200522,9.977705005905591,2.220588910044171,131.85610373795498,1049.4021041939268,7
0.35659567,0.48640108,34.790966,3.4790967,101.205185,52.170967,-115.09367,116.252945,48.943996,240.67905,13.782249,118.90968,49.34814,240.42902,20.89933,-0.99259347,2.1810637,6.870103,-9.624499,0.05538624,0.75674945,2.5036223,-2.3162446,-0.5450143,0.104236454,-0.14105904,-1.073465,0.644433,0.24209623,179.88052355386844,177.72584300737938,86.31792894387623,18000,18400,0,119.50846600893419,9.591631029965356,2.1877297493629158,131.28782678826246,1181.0190457779681,8
0.4985834,0.54608136,52.438644,5.2438645,226.82776,65.41717,-132.0232,132.72092,64.91,295.06573,-45.357384,134.32088,61.911854,286.07642,-2.6830175,-0.40358448,2.4195347,8.846699,-8.74539,0.09433608,0.8243935,2.9098902,-2.513251,-0.5938263,0.120149374,-0.21730854,-1.1347797,0.60780776,0.17261212,115.70088374359808,81.77588849012136,85.7339689598895,20000,20400,0,121.74352155195083,9.920831035007723,2.2328496410045773,133.89720222796313,1314.4011708061444,9
